Date,ElCons,Heat,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
01/01/2020 00:00,17.25,70,0,1011.5,90,-1.9,-3.3,18632,226,2.6,2
01/01/2020 01:00,17.21,70,0,1011.4,92,-2.1,-3.1,22284,237,2.9,2.1
01/01/2020 02:00,17,80,0,1010.9,87,-0.5,-2.5,50000,286,4,2.6
01/01/2020 03:00,17.22,70,0,1010.7,83,0.2,-2.4,48969,274,4.2,2.9
01/01/2020 04:00,17.09,70,3,1009.9,84,0.1,-2.2,49724,244,4.2,3
01/01/2020 05:00,28.48,70,0,1009.7,86,-0.4,-2.5,44206,226,4.7,3.1
01/01/2020 06:00,29.07,80,7,1009.6,83,0.5,-2,50000,244,5.2,3.3
01/01/2020 07:00,29.18,80,8,1009.5,80,1.2,-1.9,50000,250,5.3,3.3
01/01/2020 08:00,29.34,90,8,1009.4,77,1.9,-1.6,50000,227,4.3,2.2
01/01/2020 09:00,29.07,80,8,1009.2,78,2.2,-1.2,50000,232,3.9,2.7
01/01/2020 10:00,29.08,80,7,1008.5,78,2.5,-0.9,50000,219,3.4,2.4
01/01/2020 11:00,29.05,90,5,1007.6,80,2.7,-0.5,50000,205,5.1,3.3
01/01/2020 12:00,28.96,90,8,1007.7,78,3.2,-0.1,50000,229,4.2,2.7
01/01/2020 13:00,28.99,90,8,1007.2,76,3.3,-0.6,50000,256,6.5,3.9
01/01/2020 14:00,29,70,8,1006.9,78,2.8,-0.6,50000,250,5.3,3.7
01/01/2020 15:00,29.18,80,8,1006.8,78,3.1,-0.4,50000,257,7.7,4.6
01/01/2020 16:00,29.16,80,8,1006.8,78,3,-0.5,50000,267,5.3,3.5
01/01/2020 17:00,29.27,70,0,1006.7,79,2.4,-0.8,50000,257,7.1,4.4
01/01/2020 18:00,28.86,80,1,1006.3,81,2.4,-0.6,49605,254,7.4,4.6
01/01/2020 19:00,29.34,90,0,1006.3,79,2.8,-0.5,50000,261,7.2,4.9
01/01/2020 20:00,29.29,80,0,1005.6,79,2.6,-0.7,50000,255,6.9,3.6
01/01/2020 21:00,17.38,80,7,1005.1,80,2.7,-0.4,50000,247,7.2,4.6
01/01/2020 22:00,17.16,90,7,1004.5,79,2.8,-0.5,50000,252,6.6,3.7
01/01/2020 23:00,17.02,60,7,1004.1,80,2.2,-0.8,50000,247,4,2.6
02/01/2020 00:00,14.18,60,7,1004.5,82,2.3,-0.5,50000,260,4.2,2.7
02/01/2020 01:00,14.27,60,4,1003.7,83,2.1,-0.5,50000,249,5.4,3.4
02/01/2020 02:00,14.11,60,3,1003.5,81,2.4,-0.5,50000,253,4,2.8
02/01/2020 03:00,13.89,60,0,1004,79,2.6,-0.7,50000,255,5.2,3.3
02/01/2020 04:00,14.05,60,0,1004.2,80,2.5,-0.7,50000,263,3.9,2.3
02/01/2020 05:00,26.51,50,0,1004.4,79,2.5,-0.8,48780,255,4.5,2.7
02/01/2020 06:00,28.78,70,1,1004.3,79,2.7,-0.6,43670,258,4.6,2.6
02/01/2020 07:00,38.09,60,7,1004.5,79,2.9,-0.4,38290,242,3.9,2.7
